Date,AUD現鈔買入,AUD現鈔賣出,AUD即期買入,AUD即期賣出,CAD現鈔買入,CAD現鈔賣出,CAD即期買入,CAD即期賣出,EUR現鈔買入,EUR現鈔賣出,EUR即期買入,EUR即期賣出,GBP現鈔買入,GBP現鈔賣出,GBP即期買入,GBP即期賣出,HKD現鈔買入,HKD現鈔賣出,HKD即期買入,HKD即期賣出,JPY現鈔買入,JPY現鈔賣出,JPY即期買入,JPY即期賣出,SGD現鈔買入,SGD現鈔賣出,SGD即期買入,SGD即期賣出,USD現鈔買入,USD現鈔賣出,USD即期買入,USD即期賣出
2006-01-02,23.74,24.49,24.0,24.2,27.85,28.67,28.17,28.37,38.09,39.33,38.67,39.07,55.4,57.38,56.33,56.73,4.106,4.296,4.203,4.263,0.2705,0.281,0.2769,0.2809,19.17,20.06,19.67,19.85,32.47,33.005,32.77,32.87
2006-01-03,23.7,24.44,23.96,24.16,27.67,28.48,27.99,28.19,38.04,39.28,38.62,39.02,55.33,57.31,56.26,56.66,4.084,4.273,4.18,4.24,0.2702,0.2807,0.2766,0.2806,19.12,20.01,19.62,19.8,32.295,32.83,32.595,32.695
2006-01-04,23.63,24.37,23.89,24.09,27.56,28.37,27.88,28.08,38.18,39.42,38.76,39.16,55.42,57.4,56.35,56.75,4.045,4.233,4.14,4.2,0.2703,0.2808,0.2767,0.2807,19.04,19.92,19.54,19.72,31.985,32.52,32.285,32.385
2006-01-05,23.57,24.31,23.83,24.03,27.5,28.31,27.82,28.02,37.94,39.17,38.51,38.91,55.08,57.04,56.0,56.4,4.006,4.192,4.1,4.16,0.2681,0.2785,0.2744,0.2784,18.9,19.77,19.39,19.57,31.67,32.205,31.97,32.07
2006-01-06,23.65,24.39,23.91,24.11,27.25,28.05,27.56,27.76,38.14,39.38,38.72,39.12,55.26,57.24,56.19,56.59,4.026,4.213,4.121,4.181,0.269,0.2794,0.2753,0.2793,18.97,19.85,19.47,19.65,31.83,32.372,32.13,32.23
2006-01-09,23.68,24.42,23.94,24.14,26.97,27.76,27.28,27.48,37.94,39.17,38.51,38.91,55.4,57.38,56.33,56.73,3.997,4.183,4.091,4.151,0.2714,0.2819,0.2778,0.2818,18.97,19.85,19.47,19.65,31.595,32.137,31.895,31.995
2006-01-10,23.62,24.36,23.88,24.08,26.99,27.78,27.3,27.5,37.82,39.05,38.39,38.79,55.31,57.29,56.24,56.64,4.007,4.193,4.101,4.161,0.2712,0.2817,0.2776,0.2816,18.98,19.86,19.48,19.66,31.67,32.212,31.97,32.07
2006-01-11,23.7,24.44,23.96,24.16,27.07,27.86,27.38,27.58,37.91,39.14,38.48,38.88,55.36,57.34,56.29,56.69,4.012,4.198,4.106,4.166,0.271,0.2815,0.2774,0.2814,19.0,19.88,19.5,19.68,31.71,32.252,32.01,32.11
2006-01-12,23.7,24.44,23.96,24.16,27.13,27.93,27.44,27.64,37.92,39.15,38.49,38.89,55.14,57.11,56.07,56.47,3.989,4.174,4.082,4.142,0.2713,0.2818,0.2777,0.2817,19.03,19.91,19.53,19.71,31.515,32.057,31.815,31.915
2006-01-13,23.69,24.43,23.95,24.15,27.13,27.93,27.44,27.64,37.84,39.07,38.41,38.81,55.37,57.35,56.3,56.7,4.004,4.19,4.098,4.158,0.2712,0.2817,0.2776,0.2816,19.04,19.92,19.54,19.72,31.645,32.187,31.945,32.045
